Date,Category,Amount,Description
2023-01-04,Groceries,40.94,Pharmacy at Shell
2023-01-04,Transport,22.14,Lunch at H&M
2023-01-04,Shopping,179.49,Clothes at Specsavers
2023-01-04,Insurance,73.01,Fuel at SSE Airtricity
2023-01-04,Gifts,41.95,Transfer at Just Eat
2023-01-04,Gifts,150.86,Workshop at Bolt
2023-01-04,Miscellaneous,66.75,Shoes at Irish Water
2023-01-04,Utilities,69.99,Dinner at Eir
2023-01-04,Insurance,322.7,Taxi at Specsavers
2023-01-04,Groceries,80.0,Subscription at Specsavers
2023-01-04,Shopping,206.36,Course Fee at Amazon
2023-01-04,Miscellaneous,32.77,Snacks at Subway
2023-01-04,Gifts,34.23,Snacks at Irish Water
2023-01-04,Entertainment,17.32,Snacks at Bolt
2023-01-04,Shopping,412.14,Payment at KFC
2023-01-04,Travel,630.08,Snacks at Google
2023-01-04,Travel,845.96,Renewal at Steam
2023-01-04,Travel,70.93,Pharmacy at Airbnb
2023-01-04,Shopping,401.87,Membership at Google
2023-01-04,Rent,809.97,Membership at Airbnb
2023-01-04,Fitness,91.67,Renewal at Irish Rail
2023-01-04,Travel,1025.77,Membership at Bolt
2023-01-04,Food,26.49,Order at Google
2023-01-04,Utilities,86.14,Coffee at Decathlon
2023-01-04,Travel,582.14,Workshop at Eir
2023-01-04,Gifts,13.0,Bill at Ryanair
2023-01-04,Utilities,69.96,Subscription at Aldi
2023-01-04,Food,22.33,Taxi at Starbucks
2023-01-04,Education,317.61,Lunch at SuperValu
2023-01-04,Healthcare,341.45,Snacks at Lidl
2023-01-04,Shopping,215.2,Course Fee at Netflix
2023-01-04,Insurance,347.63,Order at Lidl
2023-01-04,Utilities,36.48,Coffee at Bolt
2023-01-04,Taxes,1120.74,Top-up at Google
2023-01-04,Utilities,83.52,Transfer at Google
2023-01-05,Insurance,270.39,Subscription at Uber
2023-01-05,Utilities,237.31,Dinner at Gym+Coffee
2023-01-05,Insurance,357.79,Taxi at IKEA
2023-01-05,Travel,1015.82,Shoes at Amazon
2023-01-05,Entertainment,65.9,Membership at Irish Water
2023-01-05,Gifts,122.05,Membership at Aer Lingus
2023-01-05,Gifts,156.32,Booking at Vodafone
2023-01-05,Travel,1190.77,Purchase at IKEA
2023-01-05,Food,42.16,Lunch at KFC
2023-01-05,Gifts,22.7,Course Fee at Apple
2023-01-05,Transport,14.75,Ticket at Decathlon
2023-01-05,Education,71.51,Top-up at Irish Rail
2023-01-05,Food,12.78,Dinner at Uber
2023-01-05,Food,36.94,Snacks at Dublin Bus
2023-01-05,Taxes,1486.38,Coffee at SSE Airtricity
2023-01-05,Education,564.57,Hardware at Netflix
2023-01-05,Transport,32.95,Groceries at Aer Lingus
2023-01-05,Insurance,365.46,Membership at Airbnb
2023-01-05,Transport,23.8,Order at Spotify
2023-01-05,Travel,870.34,Clothes at Shell
2023-01-05,Taxes,1241.49,Coffee at Just Eat
2023-01-05,Shopping,164.06,Shoes at Gym+Coffee
2023-01-05,Miscellaneous,111.06,Purchase at KFC
2023-01-05,Groceries,26.49,Top-up at Amazon
2023-01-05,Transport,8.91,Lunch at Eir
2023-01-05,Shopping,308.22,Order at Specsavers
2023-01-05,Fitness,117.88,Workshop at Airbnb
2023-01-05,Travel,309.62,Course Fee at Electric Ireland
2023-01-05,Subscriptions,20.04,Transfer at Ryanair
2023-01-05,Groceries,108.24,Purchase at Spotify
2023-01-05,Taxes,1648.71,Membership at Specsavers
2023-01-05,Food,28.36,Pharmacy at Circle K
2023-01-05,Healthcare,51.08,Transfer at Subway
2023-01-05,Insurance,113.66,Membership at Airbnb
2023-01-05,Healthcare,61.39,Shoes at Aldi
2023-01-05,Taxes,1808.09,Dinner at Steam
2023-01-05,Subscriptions,7.94,Booking at Electric Ireland
2023-01-05,Utilities,162.73,Hardware at Subway
2023-01-05,Education,558.14,Snacks at Shell
2023-01-05,Groceries,58.74,Snacks at Bolt
2023-01-05,Healthcare,343.79,Hardware at Eir
2023-01-05,Entertainment,59.74,Bill at Vodafone
2023-01-05,Fitness,45.21,Transfer at Three
2023-01-05,Groceries,33.82,Renewal at Specsavers
2023-01-06,Dining Out,37.81,Dinner at IKEA
2023-01-06,Subscriptions,7.11,Bill at Gym+Coffee
2023-01-06,Groceries,51.64,Top-up at Circle K
2023-01-06,Transport,5.75,Gadgets at SSE Airtricity
2023-01-06,Dining Out,23.93,Booking at Boots
2023-01-06,Subscriptions,10.06,Fuel at Aer Lingus
2023-01-06,Food,13.14,Order at Gym+Coffee
2023-01-06,Taxes,1279.01,Ticket at Steam
2023-01-06,Groceries,68.53,Transfer at Vodafone
2023-01-06,Miscellaneous,29.02,Order at IKEA
2023-01-06,Gifts,211.31,Shoes at Boots
2023-01-06,Subscriptions,20.4,Coffee at Gym+Coffee
2023-01-06,Groceries,30.47,Payment at Bolt
2023-01-06,Transport,10.31,Top-up at Steam
2023-01-06,Miscellaneous,140.43,Membership at Airbnb
2023-01-06,Education,416.94,Ticket at Just Eat
2023-01-06,Rent,1379.29,Shoes at KFC
2023-01-06,Food,28.07,Subscription at Netflix
2023-01-06,Rent,1940.27,Hardware at Zara
2023-01-06,Insurance,140.85,Pharmacy at Tesco
2023-01-06,Subscriptions,37.84,Membership at Boots
2023-01-06,Fitness,21.4,Lunch at Bolt
2023-01-06,Travel,985.21,Renewal at Domino's
2023-01-06,Gifts,37.38,Lunch at KFC
2023-01-06,Shopping,431.19,Workshop at Tesco
2023-01-06,Subscriptions,12.29,Dinner at Specsavers
2023-01-06,Education,566.56,Purchase at Electric Ireland
2023-01-06,Dining Out,23.25,Fuel at Uber
2023-01-06,Taxes,1774.71,Workshop at Lidl
2023-01-06,Fitness,51.8,Subscription at Circle K
2023-01-06,Dining Out,71.79,Bill at SuperValu
2023-01-06,Groceries,44.34,Snacks at Uber
2023-01-06,Taxes,498.1,Top-up at KFC
2023-01-06,Healthcare,143.79,Order at Tesco
2023-01-06,Dining Out,12.99,Ticket at Bolt
2023-01-06,Rent,1515.95,Subscription at Irish Rail
2023-01-06,Subscriptions,14.2,Fuel at Steam
2023-01-06,Healthcare,32.25,Dinner at Domino's
2023-01-06,Entertainment,41.06,Membership at SuperValu
2023-01-06,Miscellaneous,73.79,Gadgets at McDonald's
2023-01-06,Subscriptions,10.09,Booking at Electric Ireland
2023-01-06,Transport,10.19,Pharmacy at Spotify
2023-01-06,Rent,691.97,Top-up at SuperValu
2023-01-06,Taxes,209.77,Groceries at Steam
2023-01-06,Fitness,80.35,Fuel at Three
2023-01-06,Entertainment,85.42,Order at Steam
2023-01-06,Dining Out,34.89,Lunch at SSE Airtricity
2023-01-06,Dining Out,31.15,Top-up at Tesco
2023-01-06,Healthcare,107.43,Membership at Aer Lingus
2023-01-06,Healthcare,33.57,Fuel at Electric Ireland
2023-01-06,Dining Out,61.5,Order at Bolt
2023-01-06,Groceries,81.83,Membership at Bolt
2023-01-06,Miscellaneous,97.45,Lunch at Bolt
2023-01-06,Insurance,187.84,Ticket at Gym+Coffee
2023-01-06,Travel,722.8,Snacks at Netflix
2023-01-06,Groceries,59.31,Top-up at Aer Lingus
2023-01-06,Taxes,1191.45,Gadgets at Apple
2023-01-06,Shopping,464.95,Shoes at Circle K
2023-01-06,Education,485.13,Ticket at Spotify
2023-01-06,Dining Out,29.6,Gadgets at KFC
2023-01-06,Travel,259.8,Ticket at Netflix
2023-01-07,Dining Out,49.83,Top-up at Uber
2023-01-07,Fitness,134.1,Snacks at Irish Water
2023-01-07,Education,542.67,Clothes at SuperValu
2023-01-07,Miscellaneous,2.33,Purchase at KFC
2023-01-07,Utilities,248.15,Hardware at Google
2023-01-07,Dining Out,23.68,Subscription at SuperValu
2023-01-07,Subscriptions,9.59,Membership at Irish Rail
2023-01-07,Gifts,70.93,Clothes at Just Eat
2023-01-07,Utilities,161.1,Ticket at Starbucks
2023-01-07,Insurance,343.59,Coffee at Spotify
2023-01-07,Taxes,1664.47,Taxi at SSE Airtricity
2023-01-07,Subscriptions,13.09,Lunch at Specsavers
2023-01-07,Travel,154.37,Course Fee at Uber
2023-01-07,Utilities,160.01,Course Fee at Gym+Coffee
2023-01-07,Rent,1593.74,Top-up at Three
2023-01-07,Rent,1450.68,Lunch at Vodafone
2023-01-07,Transport,13.75,Ticket at Lidl
2023-01-07,Entertainment,35.58,Workshop at Irish Water
2023-01-07,Miscellaneous,171.56,Purchase at Aldi
2023-01-07,Subscriptions,8.36,Hardware at Subway
2023-01-07,Dining Out,12.84,Ticket at Domino's
2023-01-07,Entertainment,43.68,Transfer at Dublin Bus
2023-01-07,Entertainment,57.73,Payment at Irish Water
2023-01-07,Healthcare,48.92,Gadgets at Google
2023-01-07,Insurance,372.15,Lunch at Spotify
2023-01-07,Shopping,336.31,Shoes at Three
2023-01-07,Utilities,41.7,Purchase at Uber
2023-01-07,Food,27.48,Order at Netflix
2023-01-07,Food,11.65,Pharmacy at Specsavers
2023-01-07,Taxes,1417.6,Lunch at SSE Airtricity
2023-01-07,Utilities,60.51,Gadgets at Spotify
2023-01-07,Education,82.48,Bill at Dublin Bus
2023-01-07,Travel,1116.51,Purchase at IKEA
2023-01-07,Dining Out,26.22,Fuel at H&M
2023-01-07,Groceries,44.32,Lunch at Bolt
2023-01-07,Shopping,440.95,Ticket at Eir
2023-01-07,Shopping,291.97,Transfer at Boots
2023-01-07,Entertainment,50.49,Course Fee at Electric Ireland
2023-01-07,Miscellaneous,77.08,Membership at Gym+Coffee
2023-01-07,Rent,1721.43,Taxi at Electric Ireland
2023-01-07,Gifts,178.27,Gadgets at Netflix
2023-01-07,Fitness,102.36,Snacks at Spotify
2023-01-07,Shopping,120.87,Taxi at Electric Ireland
2023-01-07,Taxes,410.59,Dinner at Aldi
2023-01-07,Healthcare,137.34,Transfer at Boots
2023-01-07,Healthcare,117.13,Subscription at Airbnb
2023-01-07,Fitness,99.07,Groceries at Three
2023-01-07,Transport,15.33,Workshop at Subway
2023-01-07,Shopping,214.88,Snacks at Dublin Bus
2023-01-07,Taxes,1815.05,Renewal at McDonald's
2023-01-07,Subscriptions,5.29,Dinner at Ryanair
2023-01-07,Transport,7.06,Coffee at Vodafone
2023-01-07,Entertainment,46.51,Membership at Shell
2023-01-07,Groceries,55.38,Hardware at Tesco
2023-01-08,Insurance,126.26,Subscription at H&M
2023-01-08,Rent,1636.3,Renewal at Boots
2023-01-08,Dining Out,16.16,Dinner at Aldi
2023-01-08,Food,15.82,Ticket at Vodafone
2023-01-08,Education,579.35,Gadgets at Dublin Bus
2023-01-08,Entertainment,76.4,Workshop at Irish Water
2023-01-08,Taxes,1794.67,Clothes at Ryanair
2023-01-08,Food,11.45,Lunch at Google
2023-01-08,Taxes,260.27,Workshop at McDonald's
2023-01-08,Utilities,111.49,Groceries at Tesco
2023-01-08,Taxes,1036.49,Snacks at Circle K
2023-01-08,Gifts,188.92,Payment at Zara
2023-01-08,Groceries,31.22,Transfer at H&M
2023-01-08,Education,579.68,Hardware at Gym+Coffee
2023-01-08,Transport,7.14,Snacks at Ryanair
2023-01-08,Education,170.08,Taxi at Eir
2023-01-08,Taxes,867.35,Fuel at Just Eat
2023-01-08,Insurance,53.3,Booking at Apple
2023-01-08,Travel,292.56,Taxi at SuperValu
2023-01-08,Groceries,52.67,Pharmacy at Irish Rail
2023-01-08,Transport,9.13,Course Fee at Google
2023-01-08,Education,153.53,Coffee at Vodafone
2023-01-08,Travel,976.11,Coffee at Shell
2023-01-08,Food,12.6,Membership at Steam
2023-01-08,Miscellaneous,130.82,Payment at Gym+Coffee
2023-01-08,Fitness,86.86,Snacks at Google
2023-01-08,Utilities,207.72,Hardware at Irish Water
2023-01-08,Rent,1163.4,Transfer at Steam
2023-01-08,Taxes,810.92,Fuel at Decathlon
2023-01-08,Fitness,56.77,Dinner at Three
2023-01-08,Miscellaneous,66.88,Transfer at Dublin Bus
2023-01-08,Healthcare,14.66,Hardware at Uber
2023-01-08,Groceries,73.27,Lunch at Uber
2023-01-08,Gifts,132.84,Clothes at KFC
2023-01-08,Dining Out,41.73,Subscription at Decathlon
2023-01-08,Gifts,49.67,Fuel at Lidl
2023-01-08,Fitness,18.82,Lunch at Amazon
2023-01-08,Entertainment,23.37,Booking at Amazon
2023-01-08,Entertainment,81.07,Lunch at SuperValu
2023-01-08,Travel,438.15,Top-up at Eir
2023-01-08,Miscellaneous,37.84,Clothes at Domino's
2023-01-08,Fitness,109.73,Transfer at McDonald's
2023-01-08,Fitness,128.75,Subscription at H&M
2023-01-08,Utilities,124.8,Clothes at Just Eat
2023-01-08,Groceries,33.41,Transfer at Dublin Bus
2023-01-08,Food,18.18,Snacks at Domino's
2023-01-08,Healthcare,398.85,Lunch at Circle K
2023-01-08,Miscellaneous,197.25,Coffee at Three
2023-01-08,Taxes,640.81,Course Fee at Dublin Bus
2023-01-08,Entertainment,14.85,Purchase at H&M
2023-01-08,Shopping,460.58,Lunch at Amazon
2023-01-08,Gifts,240.48,Groceries at Zara
2023-01-09,Fitness,106.37,Payment at Irish Rail
2023-01-09,Taxes,1692.72,Course Fee at Eir
2023-01-09,Subscriptions,10.16,Dinner at Bolt
2023-01-09,Utilities,249.39,Purchase at KFC
2023-01-09,Food,26.96,Hardware at Gym+Coffee
2023-01-09,Groceries,90.87,Coffee at SSE Airtricity
2023-01-09,Gifts,98.43,Renewal at Irish Water
2023-01-09,Dining Out,24.63,Coffee at Google
2023-01-09,Fitness,21.84,Snacks at Steam
2023-01-09,Subscriptions,11.78,Transfer at Domino's
2023-01-09,Miscellaneous,111.26,Subscription at Dublin Bus
2023-01-09,Education,171.04,Groceries at Domino's
2023-01-09,Education,399.62,Membership at Zara
2023-01-09,Transport,9.7,Renewal at Apple
2023-01-09,Education,273.77,Renewal at Bolt
2023-01-09,Healthcare,116.58,Top-up at Circle K
2023-01-09,Dining Out,24.54,Ticket at Spotify
2023-01-09,Gifts,159.64,Clothes at Dublin Bus
2023-01-09,Insurance,246.01,Bill at Domino's
2023-01-09,Travel,339.99,Subscription at Zara
2023-01-09,Rent,1969.97,Bill at Just Eat
2023-01-09,Utilities,216.98,Groceries at Airbnb
2023-01-09,Rent,1536.61,Shoes at Subway
2023-01-09,Miscellaneous,10.51,Taxi at Shell
2023-01-09,Insurance,327.97,Top-up at Aer Lingus
2023-01-09,Rent,833.34,Gadgets at Tesco
2023-01-09,Insurance,176.98,Course Fee at Eir
2023-01-09,Shopping,84.48,Renewal at Shell
2023-01-09,Fitness,135.32,Snacks at Steam
2023-01-09,Subscriptions,8.87,Shoes at Lidl
2023-01-09,Fitness,133.81,Subscription at KFC
2023-01-09,Taxes,894.82,Pharmacy at SSE Airtricity
2023-01-09,Travel,730.49,Coffee at Uber
2023-01-09,Dining Out,34.2,Subscription at Circle K
2023-01-09,Gifts,200.13,Order at Airbnb
2023-01-09,Transport,14.2,Transfer at H&M
2023-01-09,Healthcare,275.78,Workshop at Steam
2023-01-09,Gifts,142.22,Clothes at Subway
2023-01-09,Transport,9.45,Booking at Google
2023-01-09,Transport,14.69,Lunch at Eir
2023-01-09,Dining Out,23.5,Course Fee at KFC
2023-01-09,Travel,682.45,Purchase at Lidl
2023-01-09,Dining Out,25.87,Pharmacy at Dublin Bus
2023-01-09,Subscriptions,18.73,Fuel at Decathlon
2023-01-10,Dining Out,106.52,Lunch at Zara
2023-01-10,Transport,7.2,Order at Apple
2023-01-10,Healthcare,86.19,Bill at Circle K
2023-01-10,Gifts,197.38,Hardware at SSE Airtricity
2023-01-10,Travel,941.54,Membership at H&M
2023-01-10,Education,577.24,Renewal at IKEA
2023-01-10,Entertainment,19.96,Fuel at Dublin Bus
2023-01-10,Shopping,487.77,Coffee at Netflix
2023-01-10,Education,57.89,Pharmacy at Ryanair
2023-01-10,Miscellaneous,187.44,Taxi at Electric Ireland
2023-01-10,Education,371.24,Pharmacy at H&M
2023-01-10,Gifts,51.45,Shoes at Just Eat
2023-01-10,Insurance,94.2,Purchase at Decathlon
2023-01-10,Utilities,145.75,Snacks at IKEA
2023-01-10,Travel,562.93,Gadgets at Vodafone
2023-01-10,Transport,21.48,Dinner at Aldi
2023-01-10,Shopping,317.29,Course Fee at Lidl
2023-01-10,Shopping,68.58,Snacks at H&M
2023-01-10,Entertainment,27.82,Clothes at Irish Rail
2023-01-10,Entertainment,62.94,Clothes at Spotify
2023-01-10,Groceries,48.05,Renewal at Tesco
2023-01-10,Travel,554.07,Subscription at Ryanair
2023-01-10,Dining Out,72.89,Taxi at Specsavers
2023-01-10,Education,375.61,Ticket at Vodafone
2023-01-10,Shopping,479.0,Groceries at Airbnb
2023-01-10,Subscriptions,8.07,Lunch at Zara
2023-01-10,Rent,2174.64,Taxi at Starbucks
2023-01-10,Healthcare,187.83,Hardware at Electric Ireland
2023-01-10,Taxes,1085.37,Payment at Shell
2023-01-10,Transport,5.95,Top-up at Spotify
2023-01-10,Transport,10.68,Dinner at Aer Lingus
2023-01-10,Fitness,71.35,Lunch at Subway
2023-01-10,Miscellaneous,67.53,Booking at IKEA
2023-01-10,Travel,771.96,Order at SSE Airtricity
2023-01-10,Utilities,55.31,Gadgets at Subway
2023-01-10,Rent,739.55,Taxi at Just Eat
2023-01-10,Taxes,1102.16,Coffee at SuperValu
2023-01-10,Rent,631.42,Snacks at Aldi
2023-01-10,Entertainment,22.3,Bill at SSE Airtricity
2023-01-10,Groceries,172.43,Membership at SSE Airtricity
2023-01-10,Subscriptions,17.17,Order at Netflix
2023-01-10,Utilities,220.85,Payment at Ryanair
2023-01-10,Subscriptions,20.35,Pharmacy at Lidl
2023-01-10,Entertainment,24.98,Order at Netflix
2023-01-10,Taxes,492.3,Course Fee at Dublin Bus
2023-01-10,Gifts,106.25,Payment at Subway
2023-01-10,Food,13.11,Renewal at Aldi
2023-01-10,Gifts,12.16,Hardware at Boots
2023-01-10,Taxes,921.91,Clothes at Specsavers
2023-01-11,Shopping,211.24,Clothes at IKEA
2023-01-11,Miscellaneous,9.28,Subscription at Lidl
2023-01-11,Healthcare,178.48,Shoes at SSE Airtricity
2023-01-11,Travel,398.15,Coffee at Lidl
2023-01-11,Groceries,55.25,Order at Ryanair
2023-01-11,Food,13.36,Top-up at Starbucks
2023-01-11,Subscriptions,12.59,Top-up at Dublin Bus
2023-01-11,Utilities,204.31,Bill at Amazon
2023-01-11,Dining Out,31.34,Shoes at Eir
2023-01-11,Shopping,217.99,Booking at Netflix
2023-01-11,Gifts,8.0,Order at Aer Lingus
2023-01-11,Utilities,100.54,Purchase at Boots
2023-01-11,Gifts,24.33,Transfer at Decathlon
2023-01-11,Miscellaneous,165.03,Gadgets at Airbnb
2023-01-11,Gifts,100.35,Pharmacy at SuperValu
2023-01-11,Healthcare,59.88,Groceries at Zara
2023-01-11,Fitness,110.91,Workshop at Shell
2023-01-11,Dining Out,44.13,Membership at Lidl
2023-01-11,Miscellaneous,96.03,Pharmacy at Steam
2023-01-11,Education,567.16,Gadgets at Lidl
2023-01-11,Rent,1648.85,Dinner at Boots
2023-01-11,Insurance,86.8,Bill at Boots
2023-01-11,Fitness,102.86,Ticket at Dublin Bus
2023-01-11,Healthcare,25.65,Bill at Decathlon
2023-01-11,Fitness,55.35,Gadgets at Tesco
2023-01-11,Education,477.09,Taxi at Dublin Bus
2023-01-11,Travel,507.12,Payment at IKEA
